List,Card Name,Description
Completed,v0.0.9 — Field Ops Foundation,"Depot, Beacons, Factory/Processors, Guilds (chat, leaderboard, kick), Wishlist + gift trades, Admin player management."
Completed,v0.0.10 — Sparkfield Rename & Shop,"Renamed to Sparkfield. Shop (all non-crystal materials + outfits). The Enforcer companion. 20-species Football roster. Anti-spam scan rate limit. Image asset support added."
Completed,v0.0.11 — Home Page & Two New Droid Lines,"Home page. Economy tuning (variant-odds fix, capture cost scaling). Void Zombie + Lumen Sentinel lines. Warehouse rework. StarSprite activation. Live location map. Guild badges + notice."
Completed,v0.0.12 — Bug Fixes & Full Evolution Chains,"Fixed starter picker bug, Dex evolution-chain bug, background placement swap. Zombie/Lumen redesigned to full 4-tier chains. Map density + markers. Pad leveling overhaul. Large QOL pass."
Completed,v0.1.0 — Battle Engine,"Full PVP. Solo & Group Titan encounters (up to 10 participants). Scaffitan: rare post-win capture, 5-tier mastery via Energy Tubes. Repair Kits."
Next (0.x.0 Roadmap),0.2.0 — Depot / Galactic / Cosmetics / Attachments / Trading,"DEPOT: 10,000✦ Depot, material reward pool, Galactic pity system, Fragments, Depotus Prime and Ovumen Arcanjx. COSMETICS: head/body/arms/legs slots, rarity buffs (2/4/10/15%), VIP Crown as Legendary head item, Wardrobe, Threads material. ATTACHMENTS: Mod Chips/USB Dongles/Energy Bottles, 3 slots per droid. TRADING: material trades, renamed Underground Store."
Next (0.x.0 Roadmap),0.3.0 — Breeding,"Breeding/Duplicator mechanism. The Astral Brood — 10 breeding-exclusive droids. Two droids lost per breed, weighted-random exclusive output."
Next (0.x.0 Roadmap),0.4.0 — Player Leveling & Re-Boot,"XP system, Level 0-20 curve, milestone rewards every 5 levels, Re-Boot prestige system, fully configurable per the spec."
Next (0.x.0 Roadmap),0.5.0 — Full Balance Review & Live Infrastructure,"Complete economy/balance pass. Move to real-time push infrastructure instead of polling."
Next (0.x.0 Roadmap),0.6.0 — TestFlight Migration,"Native wrapper for iOS distribution, Apple Developer account setup, admin tooling gated for external testers."
QOL Backlog,Escape from capture,"Option to flee a capture attempt; that spawn is removed and can't be re-engaged."
QOL Backlog,Battle turn indicator,"Player badge borders in battle: blue = you, yellow = other players, red = Titan."
QOL Backlog,HP/Attack/Special icons,"Custom PNGs provided — need exact filenames confirmed once battle UI is being built."
QOL Backlog,Pad RAM missing popup,"Clear popup when a pad upgrade needs Pad RAM the player doesn't have."
QOL Backlog,Trading: hide farming droids,"Droids assigned to a Foundry slot shouldn't appear in the trade list."
QOL Backlog,Trading: hide-from-trade toggle,"Per-droid option in the stats view to exclude it from being tradeable."
QOL Backlog,Player badge as icon,"Let players display an unlocked achievement badge as their visible player icon."
QOL Backlog,Materials audit,"Review every material, group by purpose in Inventory, PNG-if-present-else-fallback-icon system."
Bugs,,
